Longitude,Latitude,Target,Aspect,Curvature,Rainfall_Pentad,River_dist_mts,Geology_Age,Geomorphology,Slope,Roads_dist_mts,Soil_type
78.676453,29.918065,1,3,1,252.4997101,26,8,3,3,0,2
78.591888,29.865027,1,10,3,270.3831482,29,8,3,2,0,6
78.761162,29.901611,1,6,1,263.0310059,8,8,3,3,0,2
78.560762,29.811342,1,5,1,275.0291138,26,19,3,3,0,6
78.593752,29.810561,1,5,1,275.0291138,8,8,3,2,0,6
78.607718,29.822375,1,7,2,272.5525208,8,18,3,3,0,2
78.599614,29.84111,1,10,1,275.0291138,23,8,3,3,0,6
78.649691,29.822208,1,5,1,272.5525208,16,8,3,2,0,6
78.753924,29.905712,1,5,2,263.0310059,8,8,3,2,0,2
78.75095,29.879083,1,3,3,268.1714478,16,8,3,3,0,6
78.708126,29.896303,1,8,1,259.1402588,8,8,3,2,0,6
78.591494,29.932832,1,3,3,263.636261,23,8,7,3,11,2
78.746014,29.882401,1,5,2,259.1402588,16,8,3,3,0,6
78.596896,29.827009,1,3,3,275.0291138,16,8,3,2,0,6
78.75037,29.880281,1,4,2,268.1714478,16,8,3,2,0,6
78.742328,29.915017,1,8,1,259.2531433,16,8,3,3,0,2
78.710885,29.898449,1,2,2,259.1402588,8,8,3,3,0,6
78.54577,29.803725,1,7,1,283.5005493,34,12,3,2,0,6
78.60608,29.809027,1,5,3,272.5525208,0,8,2,3,0,2
78.539947,29.816712,1,7,3,283.5005493,34,19,3,3,0,6
78.742424,29.888754,1,10,1,259.1402588,8,8,3,3,0,2
78.699,29.873,0,10,1,256.4910278,8,8,3,1,16,2
78.7133,29.847,0,4,3,260.6399231,0,8,3,1,8,6
78.6338,29.7558,0,3,1,264.4629211,8,12,3,1,8,6
78.5057,29.8607,0,5,1,276.1272583,8,8,3,1,8,6
78.5324,29.7708,0,8,1,272.1329041,18,12,3,1,0,6
78.6347,29.8292,0,8,3,272.5525208,0,8,3,1,8,6
78.7435,29.7706,0,6,3,268.1534729,8,8,3,1,11,6
78.588,29.8685,0,7,1,270.3831482,32,8,3,1,0,6
78.5537,29.7807,0,6,3,267.0637207,11,11,3,1,0,6
78.539,29.8781,0,3,1,276.1272583,11,8,3,1,0,6
78.7638,29.8343,0,3,1,276.3983459,16,8,3,1,18,2
78.6288,29.8669,0,7,3,268.3644104,23,8,3,1,16,6
78.7184,29.891,0,10,3,259.1402588,11,8,3,1,0,6
78.6126,29.7319,0,9,2,285.1504517,8,12,3,1,0,2
78.6958,29.8319,0,4,3,269.6557007,23,8,7,1,0,6
78.5231,29.8709,0,7,3,276.1272583,8,8,3,1,8,6
78.6724,29.8079,0,3,3,269.6557007,40,8,3,1,8,6
78.7189,29.8407,0,7,3,260.6399231,0,8,3,1,0,6
78.5205,29.8445,0,6,1,283.5005493,16,8,3,2,8,6
78.7157,29.9085,0,5,1,259.2531433,8,8,3,2,0,2
78.6034,29.7965,0,2,3,264.4629211,8,12,3,2,8,6
78.5936,29.7774,0,6,1,267.0637207,11,12,3,2,8,6
78.5321,29.8737,0,6,3,276.1272583,8,8,3,2,8,6
78.6329,29.7261,0,8,3,285.1504517,8,11,3,2,8,7
78.7473,29.7012,0,8,1,291.7219238,0,12,3,2,0,7
78.5478,29.7013,0,7,1,285.4326172,8,12,3,2,8,6
78.7295,29.877,0,3,3,259.1402588,16,18,3,2,0,2
78.6464,29.8119,0,7,2,272.5525208,18,8,3,2,0,2
78.7339,29.8076,0,2,3,260.6399231,0,8,3,3,0,6
78.6065,29.8369,0,9,2,272.5525208,18,8,3,3,0,6
78.6578,29.8939,0,6,3,256.4910278,23,8,3,3,8,6
78.6525,29.7584,0,3,3,270.0474243,0,12,3,3,16,6
